Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
22,Analytic,1,14,12,50,0.0,0.0,45,0.0,33,11.0,2.0,10,8.0,99,45,1.0,3.0,3,0.0,3.0,1.0,4.0,321,1.0,6.0,5.0,0.0,3.0,50.0,50,1.0,0.0,22,27,13.0,3.0,16,1.0,0.0,0.0,2.0,38,19,50,63,99,11,90,8,105,4.0,0.0,4.0,2.0,0.0,42,46,4.0,9.0,40,57,4.0,0.0,0.0
23,Analytic,1,23,20,79,0.0,4.0,56,0.0,35,7.0,2.0,16,9.0,114,48,0.0,9.0,5,0.0,4.0,1.0,6.0,358,3.0,1.0,2.0,0.0,0.0,40.0,40,2.0,1.0,26,44,22.0,2.0,17,2.0,5.0,0.0,2.0,50,12,74,68,89,15,112,17,80,2.0,0.0,3.0,2.0,17.0,78,35,6.0,3.0,27,74,8.0,11.0,0.0
24,Analytic,1,17,15,55,6.0,1.0,75,2.0,35,5.0,2.0,8,6.0,122,39,0.0,13.0,5,0.0,4.0,0.0,0.0,380,5.0,3.0,4.0,1.0,9.0,71.0,40,0.0,7.0,34,28,5.0,3.0,17,2.0,13.0,0.0,2.0,38,18,37,76,109,11,104,6,107,5.0,6.0,4.0,0.0,0.0,28,56,10.0,1.0,30,59,4.0,8.0,0.0
25,Analytic,1,17,12,53,2.0,5.0,61,0.0,28,6.0,2.0,10,6.0,127,46,1.0,6.0,10,0.0,3.0,1.0,2.0,384,1.0,3.0,13.0,0.0,14.0,67.0,44,1.0,4.0,40,45,3.0,0.0,20,3.0,10.0,0.0,2.0,45,31,42,76,109,14,121,18,96,1.0,4.0,8.0,0.0,0.0,63,56,7.0,7.0,21,67,1.0,6.0,1.0
26,Analytic,1,15,12,49,0.0,8.0,41,0.0,36,6.0,0.0,10,3.0,125,45,0.0,9.0,8,0.0,2.0,0.0,5.0,334,4.0,4.0,5.0,0.0,10.0,61.0,47,1.0,1.0,42,22,4.0,2.0,23,1.0,11.0,0.0,1.0,42,14,38,87,96,14,109,7,105,0.0,1.0,5.0,1.0,6.0,63,56,10.0,0.0,25,68,20.0,16.0,0.0
27,Analytic,1,15,14,46,0.0,3.0,49,0.0,32,5.0,2.0,6,1.0,107,37,0.0,1.0,4,0.0,3.0,2.0,1.0,319,0.0,2.0,1.0,1.0,8.0,43.0,58,0.0,2.0,28,34,6.0,3.0,22,1.0,4.0,0.0,4.0,29,13,40,49,103,10,83,12,82,2.0,1.0,4.0,1.0,0.0,50,38,9.0,3.0,24,47,3.0,4.0,0.0
28,Analytic,1,14,19,38,1.0,3.0,45,0.0,35,4.0,0.0,6,5.0,99,42,0.0,5.0,12,0.0,5.0,0.0,2.0,324,3.0,4.0,1.0,4.0,5.0,57.0,33,0.0,4.0,29,28,1.0,1.0,16,4.0,6.0,0.0,2.0,33,15,30,65,91,19,93,4,102,1.0,3.0,5.0,0.0,4.0,43,51,13.0,2.0,33,58,2.0,6.0,0.0
29,Analytic,1,16,24,56,3.0,6.0,51,0.0,26,9.0,2.0,4,7.0,114,50,0.0,5.0,11,0.0,6.0,0.0,4.0,344,1.0,2.0,6.0,1.0,1.0,42.0,50,2.0,6.0,25,36,9.0,1.0,28,5.0,10.0,1.0,1.0,41,19,45,62,100,16,98,11,111,1.0,0.0,2.0,3.0,0.0,44,51,7.0,3.0,31,62,17.0,10.0,0.0
30,Analytic,1,14,14,58,3.0,13.0,38,0.0,34,8.0,3.0,8,6.0,129,47,0.0,11.0,8,0.0,3.0,0.0,4.0,363,4.0,4.0,2.0,0.0,6.0,58.0,50,1.0,2.0,32,28,7.0,5.0,21,2.0,19.0,0.0,1.0,28,9,37,87,111,8,115,14,101,2.0,3.0,0.0,0.0,21.0,67,53,18.0,0.0,28,50,8.0,24.0,0.0
31,Analytic,1,6,8,43,2.0,2.0,66,0.0,20,9.0,6.0,2,3.0,96,44,0.0,4.0,3,0.0,5.0,1.0,0.0,325,3.0,3.0,5.0,0.0,6.0,57.0,50,0.0,1.0,26,19,5.0,2.0,21,2.0,5.0,1.0,2.0,30,24,36,75,100,7,94,4,108,3.0,2.0,8.0,0.0,2.0,44,52,3.0,10.0,32,43,5.0,3.0,1.0
