Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
87,Creative,0,15,15,58,0.0,2.0,67,0.0,29,17,6.0,6,7.0,106,44,0.0,2.0,8,0.0,6.0,2.0,0.0,344,0.0,9.0,13.0,0.0,10,28.0,56,0.0,1.0,20,33,16.0,1.0,9,0.0,2.0,0.0,2.0,39,30,54,51,112,6,84,7,89,13.0,0.0,7.0,3.0,10.0,75,54,9.0,4.0,26,49,9.0,5.0,0.0
88,Creative,0,29,12,69,1.0,1.0,55,1.0,33,8,2.0,11,15.0,126,52,0.0,5.0,10,2.0,6.0,0.0,5.0,347,1.0,2.0,1.0,7.0,12,38.0,51,2.0,5.0,21,47,19.0,2.0,14,0.0,2.0,1.0,3.0,48,12,67,51,92,9,98,18,77,3.0,0.0,2.0,2.0,0.0,70,36,8.0,10.0,27,59,3.0,5.0,0.0
89,Creative,0,21,17,61,0.0,9.0,43,0.0,32,13,6.0,10,9.0,107,49,0.0,6.0,8,0.0,5.0,1.0,4.0,336,2.0,4.0,2.0,0.0,6,62.0,44,1.0,1.0,24,30,6.0,2.0,19,1.0,12.0,0.0,3.0,34,16,46,74,96,17,104,10,107,0.0,4.0,5.0,2.0,6.0,49,50,10.0,4.0,38,57,2.0,27.0,0.0
90,Creative,0,15,22,59,0.0,1.0,44,0.0,38,7,4.0,6,3.0,119,54,0.0,5.0,4,0.0,10.0,0.0,4.0,344,0.0,1.0,6.0,0.0,12,48.0,57,1.0,2.0,33,50,13.0,0.0,10,1.0,2.0,1.0,2.0,36,24,55,58,85,18,108,9,69,4.0,1.0,3.0,1.0,0.0,77,37,12.0,7.0,24,64,3.0,3.0,0.0
91,Creative,0,10,20,54,0.0,2.0,52,0.0,29,5,1.0,13,3.0,109,41,0.0,2.0,5,0.0,6.0,2.0,2.0,315,0.0,2.0,2.0,4.0,12,36.0,48,1.0,2.0,27,32,10.0,1.0,12,2.0,5.0,0.0,2.0,39,14,48,58,84,17,90,16,77,1.0,3.0,0.0,1.0,10.0,82,39,13.0,8.0,28,62,4.0,1.0,0.0
92,Creative,0,37,24,63,1.0,7.0,67,0.0,30,8,1.0,10,17.0,146,59,0.0,0.0,13,1.0,6.0,1.0,1.0,390,1.0,5.0,0.0,2.0,13,54.0,63,0.0,3.0,37,33,16.0,1.0,34,3.0,9.0,0.0,5.0,40,13,50,64,108,10,97,20,118,2.0,0.0,2.0,2.0,0.0,54,50,5.0,3.0,33,53,7.0,16.0,0.0
93,Creative,0,19,6,55,0.0,1.0,57,0.0,21,6,2.0,6,4.0,92,39,0.0,0.0,2,1.0,4.0,0.0,2.0,286,0.0,2.0,4.0,3.0,8,38.0,57,0.0,0.0,20,16,13.0,0.0,9,0.0,1.0,0.0,0.0,28,14,53,59,95,5,75,5,75,3.0,0.0,1.0,2.0,0.0,73,42,0.0,16.0,21,35,5.0,6.0,0.0
94,Creative,0,36,15,50,0.0,0.0,72,0.0,26,7,2.0,19,6.0,103,45,0.0,1.0,8,4.0,3.0,0.0,1.0,339,1.0,2.0,1.0,4.0,16,29.0,47,2.0,3.0,16,29,18.0,5.0,13,2.0,0.0,0.0,2.0,33,12,50,51,96,14,80,14,81,1.0,0.0,2.0,1.0,0.0,78,36,4.0,9.0,31,50,13.0,28.0,0.0
95,Creative,0,20,8,54,1.0,4.0,58,0.0,38,4,2.0,15,9.0,125,48,0.0,6.0,8,0.0,6.0,0.0,5.0,369,2.0,2.0,0.0,0.0,6,67.0,58,0.0,0.0,29,36,9.0,0.0,25,4.0,5.0,0.0,0.0,44,16,46,84,94,16,120,10,93,1.0,0.0,3.0,0.0,2.0,51,37,7.0,4.0,29,65,11.0,13.0,0.0
96,Creative,0,30,13,62,0.0,6.0,53,0.0,24,4,2.0,10,12.0,124,49,0.0,5.0,11,0.0,3.0,0.0,1.0,329,0.0,1.0,0.0,0.0,4,37.0,57,0.0,5.0,20,26,21.0,0.0,13,3.0,7.0,0.0,2.0,31,8,54,73,83,12,99,16,81,2.0,2.0,1.0,1.0,0.0,82,39,6.0,15.0,27,46,21.0,13.0,0.0
97,Creative,0,25,13,74,0.0,7.0,50,0.0,43,15,4.0,10,15.0,117,49,0.0,8.0,6,1.0,5.0,0.0,5.0,338,4.0,2.0,0.0,2.0,8,38.0,49,4.0,1.0,17,33,14.0,2.0,16,1.0,9.0,0.0,1.0,39,15,65,57,92,23,90,17,88,2.0,2.0,5.0,5.0,15.0,69,41,7.0,2.0,30,75,2.0,4.0,0.0
98,Creative,0,19,9,41,0.0,3.0,49,0.0,25,6,2.0,5,3.0,109,45,0.0,4.0,7,1.0,5.0,0.0,2.0,310,0.0,2.0,2.0,3.0,10,40.0,54,1.0,2.0,25,22,12.0,4.0,16,1.0,7.0,0.0,3.0,27,11,34,57,100,18,79,10,88,1.0,5.0,1.0,1.0,7.0,68,40,11.0,5.0,30,50,5.0,5.0,0.0
99,Creative,0,21,13,63,1.0,11.0,53,0.0,22,5,2.0,12,4.0,127,53,0.0,2.0,9,0.0,2.0,1.0,2.0,349,1.0,3.0,5.0,2.0,11,60.0,57,0.0,6.0,31,27,9.0,0.0,12,2.0,14.0,0.0,3.0,23,14,49,69,111,8,96,12,90,2.0,0.0,2.0,0.0,0.0,66,53,11.0,8.0,24,37,1.0,4.0,0.0
100,Creative,0,31,14,71,2.0,8.0,61,0.0,27,11,3.0,15,11.0,125,41,0.0,5.0,4,0.0,3.0,1.0,5.0,352,1.0,3.0,1.0,5.0,2,35.0,57,0.0,4.0,23,29,16.0,1.0,8,2.0,10.0,0.0,3.0,35,15,60,75,106,8,104,9,90,1.0,1.0,7.0,5.0,15.0,77,52,8.0,11.0,30,50,14.0,24.0,0.0
101,Creative,0,6,14,41,1.0,1.0,53,0.0,15,14,5.0,11,7.0,113,37,1.0,2.0,2,0.0,5.0,1.0,1.0,295,0.0,5.0,9.0,0.0,4,33.0,64,2.0,2.0,24,29,12.0,2.0,11,0.0,2.0,0.0,2.0,29,20,38,51,99,9,80,7,102,4.0,0.0,2.0,3.0,0.0,50,60,2.0,1.0,30,40,17.0,4.0,0.0
102,Creative,0,12,9,55,0.0,3.0,53,0.0,29,3,1.0,11,3.0,113,46,0.0,1.0,5,0.0,4.0,0.0,3.0,324,2.0,1.0,4.0,0.0,10,48.0,52,0.0,7.0,27,32,18.0,1.0,16,2.0,4.0,0.0,1.0,40,12,51,62,97,12,94,10,84,4.0,1.0,2.0,1.0,0.0,71,38,11.0,7.0,30,58,7.0,2.0,0.0
103,Creative,0,15,12,46,1.0,4.0,58,0.0,18,4,2.0,10,8.0,104,41,0.0,3.0,7,0.0,6.0,2.0,1.0,303,0.0,1.0,2.0,0.0,16,41.0,45,0.0,1.0,19,23,4.0,2.0,19,2.0,5.0,0.0,2.0,29,14,36,59,94,10,82,10,100,1.0,0.0,1.0,1.0,5.0,76,48,3.0,5.0,34,39,8.0,6.0,0.0
104,Creative,0,18,17,57,2.0,7.0,63,0.0,31,8,2.0,8,6.0,139,50,0.0,5.0,11,0.0,4.0,0.0,2.0,376,1.0,2.0,0.0,0.0,6,47.0,69,2.0,6.0,24,32,11.0,1.0,28,3.0,14.0,0.0,4.0,36,14,42,66,106,18,98,17,131,1.0,5.0,4.0,2.0,0.0,53,73,11.0,4.0,28,61,15.0,8.0,0.0
105,Creative,0,21,12,45,2.0,7.0,37,0.0,30,6,4.0,11,6.0,124,51,0.0,8.0,10,0.0,0.0,1.0,4.0,339,4.0,1.0,1.0,0.0,3,74.0,56,0.0,3.0,22,27,7.0,0.0,33,4.0,12.0,0.0,4.0,33,12,33,75,103,10,102,11,120,2.0,3.0,1.0,1.0,0.0,25,56,9.0,1.0,30,52,0.0,7.0,0.0
106,Creative,0,26,12,62,1.0,6.0,64,1.0,25,5,2.0,8,3.0,111,47,0.0,6.0,8,0.0,4.0,1.0,4.0,306,4.0,2.0,3.0,0.0,1,20.0,57,1.0,4.0,22,21,16.0,2.0,31,1.0,10.0,0.0,5.0,28,19,51,53,81,13,74,13,104,0.0,2.0,5.0,0.0,0.0,55,42,7.0,2.0,29,47,31.0,10.0,0.0
107,Creative,0,17,12,56,1.0,0.0,62,0.0,35,5,2.0,10,2.0,112,44,0.0,3.0,5,0.0,3.0,1.0,6.0,340,2.0,2.0,2.0,2.0,4,9.0,63,0.0,3.0,18,20,8.0,3.0,31,2.0,3.0,0.0,2.0,42,14,51,59,99,6,79,18,115,2.0,2.0,4.0,1.0,0.0,76,41,7.0,2.0,41,53,48.0,5.0,0.0
108,Creative,0,12,7,43,0.0,2.0,61,0.0,16,11,2.0,3,1.0,107,46,0.0,3.0,3,0.0,2.0,1.0,4.0,317,1.0,5.0,0.0,1.0,7,56.0,62,4.0,4.0,25,23,9.0,4.0,19,1.0,3.0,0.0,2.0,27,19,39,67,99,6,90,1,112,4.0,1.0,7.0,1.0,1.0,44,60,3.0,4.0,29,34,6.0,4.0,0.0
109,Creative,0,10,9,52,0.0,6.0,62,1.0,27,5,2.0,7,1.0,110,44,0.0,3.0,6,0.0,11.0,3.0,2.0,340,1.0,2.0,3.0,1.0,12,39.0,53,0.0,4.0,28,37,8.0,1.0,15,3.0,7.0,0.0,2.0,46,19,44,58,97,9,95,14,84,3.0,2.0,4.0,1.0,12.0,68,44,8.0,1.0,26,58,5.0,1.0,1.0
110,Creative,0,35,16,52,0.0,3.0,72,0.0,37,9,3.0,7,11.0,126,52,0.0,8.0,14,1.0,6.0,0.0,3.0,376,3.0,3.0,1.0,3.0,2,61.0,54,0.0,1.0,25,32,19.0,2.0,29,6.0,3.0,0.0,0.0,37,15,46,69,98,19,101,12,102,3.0,0.0,1.0,3.0,0.0,34,37,11.0,3.0,33,67,5.0,22.0,0.0
111,Creative,0,28,22,48,1.0,6.0,55,0.0,33,6,0.0,11,8.0,110,44,0.0,5.0,7,1.0,3.0,1.0,1.0,342,2.0,5.0,0.0,1.0,9,58.0,46,1.0,5.0,22,27,4.0,5.0,20,0.0,7.0,0.0,1.0,36,14,37,67,101,16,94,6,106,2.0,0.0,2.0,0.0,0.0,38,52,2.0,9.0,32,57,0.0,31.0,0.0
112,Creative,0,21,11,65,0.0,9.0,59,1.0,25,2,0.0,14,10.0,126,45,0.0,5.0,11,0.0,8.0,0.0,1.0,346,2.0,2.0,2.0,0.0,10,50.0,45,0.0,6.0,29,22,1.0,0.0,17,3.0,14.0,0.0,1.0,44,18,50,87,98,8,109,14,81,1.0,5.0,4.0,0.0,14.0,83,40,14.0,16.0,17,59,7.0,1.0,0.0
113,Creative,0,24,11,79,0.0,7.0,54,0.0,38,5,0.0,14,12.0,127,49,1.0,7.0,6,0.0,6.0,1.0,7.0,346,3.0,2.0,0.0,0.0,5,47.0,61,2.0,1.0,17,39,12.0,2.0,19,1.0,8.0,0.0,3.0,43,13,70,63,89,18,102,13,73,1.0,0.0,1.0,1.0,7.0,73,32,7.0,4.0,23,69,5.0,7.0,0.0
114,Creative,0,8,10,41,1.0,5.0,48,1.0,16,15,8.0,7,6.0,111,37,1.0,2.0,7,0.0,6.0,0.0,4.0,286,1.0,5.0,2.0,0.0,3,33.0,57,2.0,2.0,24,21,9.0,1.0,21,3.0,6.0,0.0,2.0,16,20,35,54,98,7,75,7,119,1.0,1.0,6.0,1.0,0.0,39,68,8.0,5.0,27,27,16.0,4.0,0.0
115,Creative,0,17,18,52,1.0,8.0,53,0.0,27,12,3.0,7,7.0,105,44,0.0,2.0,12,0.0,4.0,2.0,4.0,316,0.0,4.0,1.0,1.0,4,53.0,49,2.0,0.0,23,21,10.0,2.0,15,4.0,10.0,2.0,3.0,44,17,40,58,92,7,79,9,98,1.0,3.0,3.0,3.0,0.0,32,48,7.0,0.0,32,52,5.0,29.0,0.0
116,Creative,0,13,12,46,0.0,1.0,47,0.0,23,6,0.0,7,4.0,103,47,0.0,1.0,3,0.0,3.0,0.0,5.0,297,1.0,2.0,4.0,1.0,8,52.0,52,3.0,2.0,29,17,11.0,2.0,23,0.0,2.0,0.0,2.0,32,18,42,70,85,6,87,9,93,2.0,1.0,4.0,1.0,3.0,67,47,4.0,7.0,21,40,7.0,7.0,0.0
117,Creative,0,16,6,49,0.0,2.0,41,0.0,24,6,1.0,7,8.0,104,43,0.0,2.0,3,1.0,6.0,0.0,4.0,270,2.0,1.0,1.0,1.0,5,22.0,68,3.0,1.0,10,30,18.0,1.0,18,2.0,2.0,0.0,2.0,32,14,47,49,75,10,79,8,84,3.0,0.0,2.0,1.0,0.0,64,34,4.0,0.0,29,46,27.0,5.0,0.0
118,Creative,0,20,17,58,0.0,4.0,51,0.0,24,10,2.0,7,5.0,107,45,0.0,2.0,8,0.0,5.0,1.0,1.0,331,0.0,3.0,1.0,1.0,7,55.0,55,0.0,2.0,25,26,4.0,3.0,15,2.0,4.0,0.0,2.0,25,12,51,65,102,10,91,14,81,0.0,0.0,2.0,5.0,0.0,55,41,3.0,4.0,24,40,6.0,14.0,0.0
119,Creative,0,11,17,52,0.0,5.0,63,0.0,25,10,5.0,8,5.0,104,46,0.0,4.0,10,0.0,7.0,0.0,5.0,339,0.0,3.0,6.0,0.0,3,50.0,45,1.0,3.0,24,35,3.0,1.0,7,2.0,5.0,1.0,3.0,35,21,47,61,94,14,96,9,75,2.0,0.0,5.0,1.0,0.0,51,43,7.0,10.0,27,54,1.0,3.0,0.0
120,Creative,0,16,30,61,0.0,5.0,50,0.0,35,10,2.0,10,9.0,133,50,1.0,9.0,11,0.0,5.0,1.0,2.0,396,4.0,5.0,1.0,0.0,11,58.0,63,1.0,6.0,22,35,7.0,3.0,16,1.0,7.0,1.0,5.0,37,15,49,76,120,18,111,16,95,1.0,2.0,4.0,3.0,9.0,69,42,5.0,5.0,36,68,4.0,12.0,0.0
121,Creative,0,19,16,52,0.0,1.0,71,0.0,18,12,3.0,6,5.0,97,46,0.0,4.0,9,0.0,7.0,0.0,3.0,352,1.0,4.0,11.0,1.0,8,64.0,40,2.0,2.0,26,22,13.0,1.0,10,1.0,2.0,0.0,1.0,28,27,50,76,114,9,98,8,82,10.0,1.0,4.0,3.0,0.0,55,53,6.0,9.0,17,39,3.0,4.0,0.0
122,Creative,0,9,13,64,2.0,4.0,63,1.0,19,22,9.0,3,4.0,103,49,0.0,1.0,3,0.0,8.0,1.0,6.0,331,1.0,5.0,5.0,3.0,1,32.0,73,7.0,3.0,13,20,18.0,4.0,30,2.0,7.0,0.0,2.0,28,28,57,66,111,7,86,7,136,2.0,0.0,5.0,1.0,0.0,62,69,1.0,0.0,34,38,34.0,2.0,0.0
123,Creative,0,18,13,74,0.0,4.0,63,0.0,29,5,1.0,9,5.0,103,46,0.0,1.0,6,0.0,4.0,1.0,5.0,347,1.0,3.0,3.0,1.0,3,17.0,50,1.0,5.0,20,48,8.0,0.0,11,3.0,6.0,0.0,4.0,41,17,66,52,81,8,100,19,77,1.0,0.0,5.0,0.0,0.0,83,37,5.0,8.0,28,50,27.0,4.0,0.0
124,Creative,0,17,16,58,0.0,9.0,48,0.0,26,6,3.0,8,7.0,109,43,0.0,2.0,8,0.0,4.0,0.0,1.0,316,0.0,2.0,2.0,1.0,9,45.0,53,0.0,2.0,21,32,2.0,7.0,13,2.0,9.0,0.0,2.0,33,17,48,55,93,7,87,15,79,0.0,0.0,5.0,1.0,0.0,61,41,8.0,4.0,26,44,6.0,6.0,0.0
125,Creative,0,12,12,51,0.0,3.0,64,0.0,36,3,1.0,5,7.0,104,48,0.0,3.0,11,1.0,6.0,1.0,2.0,314,3.0,0.0,12.0,3.0,5,42.0,53,0.0,1.0,21,21,30.0,0.0,11,3.0,4.0,0.0,1.0,41,28,46,51,84,5,72,8,82,10.0,1.0,4.0,2.0,0.0,53,41,5.0,4.0,29,56,5.0,4.0,0.0
126,Creative,0,15,20,52,0.0,0.0,54,0.0,40,8,4.0,9,10.0,118,47,0.0,3.0,17,2.0,4.0,0.0,3.0,371,0.0,1.0,3.0,3.0,6,46.0,53,1.0,2.0,18,41,13.0,4.0,17,2.0,0.0,0.0,1.0,41,16,52,69,99,23,110,14,89,3.0,0.0,5.0,2.0,0.0,69,37,6.0,5.0,32,69,18.0,12.0,0.0
127,Creative,0,15,7,63,0.0,5.0,40,0.0,22,19,10.0,11,8.0,113,45,1.0,2.0,5,0.0,5.0,0.0,2.0,308,0.0,4.0,3.0,0.0,5,31.0,58,1.0,2.0,20,21,7.0,2.0,16,1.0,8.0,0.0,2.0,30,20,54,84,89,15,105,12,91,0.0,3.0,6.0,4.0,36.0,91,53,5.0,0.0,21,48,17.0,4.0,0.0
128,Creative,0,17,7,59,0.0,5.0,57,0.0,18,11,3.0,8,6.0,111,46,1.0,2.0,8,0.0,8.0,1.0,4.0,319,1.0,2.0,6.0,1.0,3,46.0,51,5.0,3.0,27,29,10.0,6.0,13,1.0,5.0,0.0,3.0,23,20,54,54,100,11,83,15,72,2.0,0.0,3.0,1.0,4.0,48,44,7.0,3.0,16,41,1.0,5.0,0.0
129,Creative,0,10,15,68,0.0,2.0,68,0.0,17,13,3.0,10,9.0,129,51,0.0,6.0,6,0.0,5.0,1.0,5.0,350,3.0,2.0,5.0,1.0,2,44.0,68,7.0,2.0,23,21,12.0,4.0,14,1.0,2.0,0.0,1.0,25,23,65,74,113,8,95,10,93,2.0,0.0,4.0,1.0,0.0,71,55,4.0,16.0,21,40,14.0,2.0,0.0
130,Creative,0,27,15,63,0.0,4.0,60,0.0,28,12,5.0,13,9.0,115,51,0.0,4.0,6,0.0,4.0,1.0,10.0,343,0.0,1.0,2.0,2.0,3,46.0,54,4.0,0.0,17,19,21.0,3.0,23,1.0,6.0,0.0,3.0,45,17,55,71,95,13,90,15,105,4.0,2.0,5.0,2.0,12.0,75,51,4.0,5.0,31,59,8.0,9.0,0.0
