Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
57,Analytic,1,7,20,38,1.0,8,56,0.0,38,10.0,2.0,6,5,109,38,1.0,11.0,16,0.0,4,1.0,1.0,375,2.0,1.0,2,0.0,2,71.0,26,7.0,8.0,24,26,17.0,7.0,10,3.0,15,0.0,1.0,44,13,23,83,104,3,109,17,84,1.0,4.0,3.0,0.0,0.0,30,56,0.0,18,12.0,19,61,0.0,2,0.0
58,Analytic,1,11,23,40,3.0,6,48,0.0,31,8.0,4.0,8,11,134,53,0.0,7.0,20,0.0,10,1.0,2.0,359,3.0,3.0,7,4.0,3,73.0,32,1.0,9.0,34,27,8.0,2.0,18,6.0,12,0.0,2.0,40,23,28,83,97,10,110,12,90,0.0,1.0,5.0,0.0,0.0,49,45,0.0,17,10.0,24,59,0.0,3,0.0
59,Analytic,1,13,16,43,11.0,7,58,0.0,30,5.0,5.0,12,6,117,43,1.0,8.0,5,0.0,6,0.0,1.0,347,0.0,0.0,6,1.0,8,46.0,37,0.0,10.0,32,30,4.0,0.0,21,1.0,20,0.0,2.0,43,16,23,74,103,11,104,10,89,1.0,2.0,3.0,0.0,0.0,66,49,0.0,10,25.0,18,59,3.0,3,0.0
60,Analytic,1,11,10,60,8.0,6,56,1.0,28,12.0,4.0,9,3,123,43,0.0,3.0,10,0.0,7,1.0,3.0,407,1.0,2.0,10,1.0,8,75.0,53,5.0,8.0,26,21,9.0,4.0,20,2.0,18,0.0,2.0,49,27,41,122,121,18,143,15,99,0.0,3.0,8.0,1.0,6.0,85,50,0.0,14,29.0,26,72,8.0,9,4.0
61,Analytic,1,13,18,55,7.0,11,59,0.0,33,9.0,3.0,3,4,106,51,0.0,7.0,13,0.0,9,1.0,5.0,367,4.0,3.0,5,1.0,4,62.0,39,3.0,7.0,26,25,2.0,3.0,14,3.0,27,0.0,1.0,39,23,28,80,101,9,105,9,103,2.0,3.0,6.0,0.0,11.0,43,51,0.0,13,5.0,36,56,2.0,9,0.0
62,Analytic,1,13,16,50,12.0,2,59,0.0,32,6.0,5.0,8,4,117,45,0.0,10.0,17,0.0,8,2.0,0.0,354,1.0,1.0,5,0.0,2,59.0,35,0.0,2.0,33,25,2.0,0.0,14,6.0,20,0.0,3.0,37,18,29,62,100,14,87,19,93,0.0,4.0,4.0,0.0,0.0,38,54,0.0,16,3.0,24,55,0.0,10,0.0
63,Analytic,1,14,9,34,2.0,4,46,0.0,30,10.0,5.0,7,7,108,45,0.0,12.0,15,0.0,1,0.0,0.0,328,3.0,4.0,4,2.0,6,54.0,34,0.0,3.0,31,30,6.0,3.0,8,3.0,10,0.0,5.0,22,10,23,63,91,14,93,14,76,2.0,1.0,4.0,1.0,0.0,30,45,0.0,12,7.0,21,44,2.0,20,0.0
64,Analytic,1,8,17,44,4.0,6,56,0.0,29,4.0,1.0,7,5,110,37,0.0,9.0,16,0.0,1,2.0,0.0,352,3.0,2.0,5,3.0,3,66.0,29,0.0,10.0,26,39,2.0,0.0,11,5.0,14,0.0,2.0,38,13,28,67,95,3,106,13,81,1.0,4.0,6.0,1.0,0.0,18,52,0.0,14,1.0,18,50,0.0,2,0.0
65,Analytic,1,10,19,47,4.0,8,44,0.0,46,9.0,5.0,5,8,113,38,0.0,14.0,20,0.0,3,0.0,0.0,381,8.0,3.0,7,1.0,5,86.0,26,2.0,5.0,25,30,5.0,0.0,7,7.0,25,0.0,1.0,38,17,19,92,104,10,122,11,75,1.0,7.0,5.0,0.0,0.0,24,44,0.0,13,6.0,23,63,0.0,9,0.0
66,Creative,1,10,26,47,1.0,7,41,0.0,23,4.0,2.0,6,4,120,49,0.0,6.0,3,0.0,5,0.0,5.0,355,1.0,2.0,2,11.0,7,72.0,57,0.0,6.0,32,29,1.0,3.0,20,2.0,9,1.0,4.0,32,11,37,83,103,14,112,13,118,0.0,2.0,1.0,0.0,4.0,49,62,0.0,11,3.0,37,52,4.0,15,0.0
67,Creative,1,9,28,54,10.0,9,57,0.0,27,4.0,3.0,8,2,113,33,0.0,7.0,12,0.0,2,4.0,1.0,385,1.0,1.0,2,4.0,4,67.0,35,0.0,9.0,28,36,3.0,4.0,12,6.0,24,1.0,4.0,43,11,30,82,109,3,118,19,100,0.0,3.0,2.0,0.0,0.0,54,62,0.0,20,7.0,31,48,8.0,4,0.0
68,Creative,1,12,25,48,1.0,4,42,0.0,29,6.0,1.0,8,5,105,45,0.0,8.0,12,0.0,5,1.0,4.0,360,1.0,2.0,4,1.0,9,64.0,33,3.0,2.0,33,34,12.0,4.0,13,4.0,9,0.0,5.0,41,17,39,86,103,12,120,11,100,0.0,4.0,7.0,0.0,17.0,58,55,0.0,9,1.0,31,62,4.0,8,0.0
69,Creative,1,34,22,45,4.0,3,42,0.0,15,0.0,0.0,12,7,123,47,0.0,5.0,9,0.0,2,2.0,0.0,336,0.0,0.0,4,1.0,5,52.0,52,0.0,3.0,33,28,6.0,1.0,21,3.0,8,2.0,4.0,38,9,37,76,92,10,104,18,91,1.0,1.0,0.0,0.0,0.0,58,39,0.0,11,9.0,35,49,15.0,35,0.0
70,Creative,1,16,8,43,2.0,4,62,0.0,27,8.0,3.0,10,6,106,31,0.0,4.0,3,0.0,2,0.0,1.0,306,3.0,3.0,2,0.0,6,56.0,38,0.0,6.0,28,22,9.0,3.0,17,0.0,8,1.0,1.0,37,9,34,65,94,8,87,10,91,1.0,2.0,4.0,2.0,0.0,36,50,0.0,13,5.0,22,55,4.0,9,0.0
71,Creative,1,17,17,35,7.0,5,41,0.0,22,3.0,2.0,6,7,107,46,0.0,7.0,7,0.0,2,0.0,0.0,331,1.0,1.0,2,0.0,9,66.0,42,0.0,2.0,28,24,1.0,1.0,18,2.0,15,0.0,1.0,29,7,16,82,94,8,106,15,80,0.0,2.0,2.0,0.0,0.0,59,35,0.0,6,9.0,27,43,7.0,33,0.0
72,Creative,1,7,18,43,2.0,4,66,0.0,30,10.0,5.0,7,5,122,41,0.0,7.0,4,0.0,4,1.0,3.0,389,1.0,4.0,5,1.0,3,62.0,58,1.0,5.0,28,34,8.0,3.0,20,2.0,10,0.0,4.0,49,24,33,77,124,9,111,8,126,0.0,4.0,7.0,0.0,0.0,38,65,0.0,15,1.0,39,65,14.0,4,0.0
73,Creative,1,9,15,46,7.0,5,39,0.0,18,7.0,3.0,6,3,107,41,0.0,12.0,9,0.0,4,0.0,4.0,324,1.0,0.0,1,0.0,5,63.0,36,4.0,7.0,30,17,8.0,4.0,12,6.0,15,0.0,2.0,25,12,31,92,91,15,109,17,80,2.0,2.0,4.0,0.0,2.0,57,43,0.0,13,24.0,24,43,3.0,8,0.0
74,Creative,1,16,12,49,2.0,5,52,0.0,38,3.0,3.0,5,6,135,40,0.0,12.0,6,0.0,5,1.0,5.0,376,7.0,0.0,3,1.0,10,56.0,55,0.0,7.0,37,35,1.0,2.0,12,3.0,9,0.0,3.0,37,14,37,86,105,11,121,17,81,1.0,1.0,2.0,0.0,9.0,61,40,0.0,8,0.0,27,63,21.0,33,0.0
75,Creative,1,7,21,42,1.0,5,62,0.0,22,9.0,3.0,5,2,121,63,0.0,8.0,9,0.0,3,0.0,2.0,359,2.0,3.0,6,0.0,9,70.0,53,3.0,2.0,40,19,5.0,1.0,24,2.0,9,1.0,2.0,23,21,33,71,109,14,90,8,133,0.0,3.0,4.0,0.0,0.0,35,66,0.0,3,1.0,43,46,0.0,4,0.0
76,Creative,1,13,14,64,9.0,8,37,0.0,43,2.0,1.0,10,8,139,43,0.0,7.0,5,0.0,3,1.0,10.0,359,4.0,0.0,1,0.0,2,69.0,56,1.0,7.0,39,28,1.0,1.0,17,2.0,24,0.0,4.0,40,8,36,81,99,8,109,17,100,2.0,6.0,1.0,0.0,0.0,41,53,0.0,6,4.0,30,58,8.0,6,0.0
