Subject_ID,Group,Experimental_condition,achieve,adverb,affect,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,death,discrep,excl,family,feel,filler,friend,funct,future,health,hear,home,humans,i,incl,ingest,inhib,insight,ipron,leisure,money,motion,negate,negemo,nonfl,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,relig,sad,see,sexual,shehe,social,space,tentat,they,time,verb,we,work,you
61,Creative_1,1,20,22,70,0.0,3.0,55,0.0,32,18,9.0,8,4,105,40,0.0,3.0,7.0,0.0,4.0,0.0,8.0,343,2.0,4.0,2.0,2.0,4,53.0,46,2.0,2.0,25,31,16,1.0,15,4.0,3,0.0,2.0,34,17,67,70,93,15,101,11,88,6.0,2.0,8.0,3.0,8.0,67,45,9.0,6.0,26,53,3.0,7.0,0.0
62,Creative_1,1,16,16,63,0.0,1.0,32,0.0,23,8,0.0,7,8,123,53,0.0,3.0,4.0,0.0,3.0,0.0,7.0,318,0.0,2.0,6.0,0.0,6,31.0,66,2.0,3.0,25,25,11,2.0,15,2.0,2,0.0,4.0,33,15,61,71,96,17,96,13,88,4.0,0.0,2.0,4.0,12.0,82,47,9.0,0.0,23,53,28.0,6.0,0.0
63,Creative_1,1,26,11,63,0.0,6.0,55,0.0,19,12,5.0,6,6,109,40,0.0,2.0,1.0,0.0,4.0,2.0,5.0,337,2.0,2.0,2.0,1.0,6,56.0,57,0.0,3.0,24,31,8,0.0,19,2.0,7,0.0,6.0,27,13,56,74,98,18,105,14,97,3.0,2.0,2.0,5.0,0.0,58,40,7.0,3.0,39,49,15.0,14.0,0.0
64,Creative_1,1,14,13,60,0.0,1.0,59,0.0,22,7,0.0,10,4,103,48,0.0,1.0,5.0,0.0,7.0,0.0,3.0,310,2.0,2.0,2.0,6.0,14,33.0,55,2.0,3.0,22,23,12,1.0,14,0.0,2,0.0,2.0,27,14,58,47,98,15,70,14,80,3.0,1.0,0.0,3.0,2.0,78,45,6.0,7.0,20,46,5.0,4.0,0.0
65,Creative_1,1,12,8,52,0.0,4.0,51,0.0,33,10,5.0,7,8,124,41,0.0,7.0,9.0,0.0,6.0,0.0,3.0,357,1.0,3.0,6.0,1.0,9,56.0,53,0.0,3.0,32,37,11,2.0,15,2.0,5,0.0,2.0,23,21,46,75,107,31,112,13,89,2.0,0.0,3.0,2.0,8.0,64,50,9.0,7.0,23,64,4.0,7.0,0.0
66,Creative_2,1,25,28,50,0.0,0.0,56,0.0,34,9,3.0,17,8,124,51,0.0,9.0,6.0,2.0,0.0,0.0,4.0,345,4.0,2.0,0.0,14.0,5,27.0,59,1.0,1.0,12,26,8,7.0,17,3.0,1,0.0,1.0,48,6,49,66,93,11,92,12,87,1.0,0.0,3.0,3.0,0.0,73,38,7.0,14.0,28,68,25.0,20.0,0.0
67,Creative_2,1,8,8,45,0.0,1.0,72,1.0,24,8,4.0,7,3,105,37,0.0,4.0,6.0,0.0,7.0,0.0,0.0,350,4.0,2.0,2.0,0.0,2,66.0,44,1.0,4.0,32,34,7,0.0,21,0.0,1,0.0,0.0,30,23,44,70,103,10,104,11,101,1.0,0.0,10.0,1.0,0.0,16,52,9.0,3.0,23,47,1.0,0.0,0.0
68,Creative_2,1,21,21,53,2.0,3.0,70,0.0,36,7,2.0,18,12,126,47,0.0,5.0,9.0,0.0,5.0,0.0,5.0,398,3.0,4.0,0.0,1.0,9,35.0,52,1.0,2.0,21,45,8,4.0,12,2.0,6,0.0,2.0,46,16,44,58,115,10,103,17,112,1.0,2.0,4.0,1.0,0.0,66,55,3.0,4.0,43,60,19.0,22.0,0.0
69,Creative_2,1,13,13,56,0.0,3.0,58,0.0,18,6,2.0,9,3,99,52,0.0,0.0,6.0,1.0,4.0,2.0,3.0,322,0.0,4.0,2.0,3.0,8,59.0,53,0.0,2.0,24,21,15,6.0,22,2.0,5,0.0,2.0,30,19,50,62,104,7,83,6,116,2.0,2.0,6.0,0.0,0.0,31,66,0.0,3.0,29,37,0.0,8.0,0.0
70,Creative_2,1,28,18,56,0.0,0.0,55,0.0,36,8,3.0,11,11,124,50,0.0,3.0,10.0,2.0,7.0,0.0,1.0,379,0.0,2.0,4.0,1.0,7,61.0,57,0.0,0.0,24,36,9,7.0,23,3.0,1,0.0,1.0,44,18,54,76,108,15,112,11,94,3.0,1.0,2.0,3.0,0.0,56,39,3.0,9.0,30,69,6.0,14.0,0.0
71,Creative_2,1,21,16,60,0.0,7.0,48,0.0,29,3,1.0,8,4,110,48,0.0,2.0,2.0,0.0,2.0,0.0,3.0,309,0.0,1.0,4.0,0.0,7,48.0,55,1.0,6.0,25,27,13,1.0,7,0.0,8,1.0,3.0,29,14,51,54,92,8,81,9,73,2.0,0.0,1.0,0.0,0.0,49,41,11.0,6.0,23,48,0.0,6.0,0.0
